team_class,game_pk,game_date,time,place,team_1_name,team_1_score,team_2_name,team_2_score
41,22428,2020-08-12,09:00,대구시민운동장 야구장,수성대,7,경일대,12
41,22433,2020-08-13,14:00,대구시민운동장 야구장,경일대,9,유원대,12
41,22435,2020-08-14,11:30,천안 독립야구장,사이버한국외대,15,경일대,3
41,22530,2020-08-17,09:00,천안 독립야구장,세경대,1,경일대,2
41,23224,2020-09-21,09:00,군산월명야구장,동아대,9,경일대,1
41,23348,2020-10-28,11:30,횡성 베이스볼 테마파크 제2구장,동강대,12,경일대,5
41,22323,2020-07-01,14:00,천안 독립야구장,동강대,6,경희대,4
41,22326,2020-07-02,14:00,천안 독립야구장,경희대,3,성균관대,10
41,22333,2020-07-10,14:00,천안 독립야구장,홍익대,7,경희대,6
41,22389,2020-07-15,17:00,보은스포츠파크 야구장,서울문화예술대,5,경희대,4
41,22493,2020-08-04,09:00,천안 독립야구장,경희대,4,단국대,5
41,22498,2020-08-06,11:00,천안 독립야구장,경희대,5,홍익대,8
41,22505,2020-08-07,09:00,천안 독립야구장,인하대,7,경희대,5
41,22506,2020-08-07,11:30,천안 독립야구장,단국대,2,경희대,13
41,22446,2020-08-12,09:00,천안 독립야구장,경희대,5,인하대,1
41,22603,2020-08-13,14:00,천안 독립야구장,성균관대,1,경희대,8
41,22605,2020-08-15,12:00,천안 독립야구장,경희대,3,동강대,4
41,23289,2020-10-26,11:30,횡성 베이스볼 테마파크 제2구장,호원대,4,경희대,7
41,23347,2020-10-28,09:00,횡성 베이스볼 테마파크 제2구장,원광대,13,경희대,1
41,22356,2020-07-08,11:30,진해공설운동장 야구장(진해야구장),영남대,4,계명대,2
41,22359,2020-07-09,11:30,진해공설운동장 야구장(진해야구장),동의대,2,계명대,1
41,22397,2020-07-17,17:00,보은스포츠파크 야구장,계명대,1,연세대,4
41,22462,2020-07-31,11:30,진해공설운동장 야구장(진해야구장),계명대,14,영남대,3
41,22508,2020-08-04,11:30,진해공설운동장 야구장(진해야구장),계명대,6,동의대,6
41,22512,2020-08-05,14:00,진해공설운동장 야구장(진해야구장),동아대,2,계명대,1
41,22515,2020-08-11,14:00,대구시민운동장 야구장,계명대,1,동아대,4
41,23344,2020-10-28,11:30,횡성 베이스볼 테마파크 제1구장,중앙대,10,계명대,2
41,22310,2020-07-01,14:00,구의 야구공원,고려대,24,서울대,0
41,22311,2020-07-02,09:00,구의 야구공원,한양대,1,고려대,5
41,22316,2020-07-08,14:00,고려대학교 송추야구장,동국대,7,고려대,1
41,22319,2020-07-09,14:00,고려대학교 송추야구장,서울문화예술대,4,고려대,16
41,22402,2020-07-19,09:00,보은스포츠파크 야구장,유원대,0,고려대,7
41,22437,2020-07-30,09:00,구의 야구공원,고려대,1,한양대,4
41,22442,2020-07-31,14:00,구의 야구공원,고려대,5,동국대,7
41,22487,2020-08-04,14:00,구의 야구공원,고려대,7,서울문화예술대,0
41,22489,2020-08-05,11:30,구의 야구공원,연세대,11,고려대,2
41,22416,2020-08-07,14:00,구의 야구공원,서울대,1,고려대,16
41,22637,2020-08-17,09:30,보은스포츠파크 야구장,고려대,6,원광대,5
41,22957,2020-09-11,11:00,고려대학교 송추야구장,고려대,1,연세대,3
41,23226,2020-09-21,14:00,군산월명야구장,중앙대,7,고려대,2
41,23293,2020-10-27,14:00,횡성 베이스볼 테마파크 제1구장,고려대,6,한일장신대,9
41,22322,2020-07-01,11:30,천안 독립야구장,단국대,4,홍익대,7
41,22325,2020-07-02,11:30,천안 독립야구장,인하대,0,단국대,3
41,22328,2020-07-08,14:00,천안 독립야구장,단국대,5,동강대,3
41,22331,2020-07-10,09:00,천안 독립야구장,단국대,2,성균관대,10
41,22394,2020-07-17,09:00,보은스포츠파크 야구장,단국대,5,동강대,3
41,22404,2020-07-19,14:00,보은스포츠파크 야구장,단국대,8,한려대,2
41,22496,2020-08-05,09:00,천안 독립야구장,성균관대,5,단국대,5
41,22420,2020-08-10,11:30,천안 독립야구장,홍익대,7,단국대,0
41,22602,2020-08-13,11:30,천안 독립야구장,단국대,0,인하대,7
41,22448,2020-08-15,14:30,천안 독립야구장,동강대,9,단국대,11
41,23297,2020-10-27,14:00,횡성 베이스볼 테마파크 제2구장,단국대,3,동국대,0
41,23349,2020-10-28,16:30,횡성 베이스볼 테마파크 제2구장,단국대,14,수성대,2
41,22324,2020-07-02,09:00,천안 독립야구장,홍익대,8,동강대,4
41,22330,2020-07-09,14:00,천안 독립야구장,성균관대,7,동강대,3
41,22332,2020-07-10,11:30,천안 독립야구장,동강대,2,인하대,6
41,22495,2020-08-04,14:00,천안 독립야구장,동강대,8,성균관대,7
41,22497,2020-08-05,11:30,천안 독립야구장,인하대,6,동강대,5
41,22601,2020-08-13,09:00,천안 독립야구장,동강대,6,홍익대,4
41,23287,2020-10-26,09:00,횡성 베이스볼 테마파크 제2구장,동강대,15,서울대,3
41,23357,2020-10-29,13:00,횡성 베이스볼 테마파크 제2구장,동강대,9,여주대,2
41,23362,2020-10-31,13:00,횡성 베이스볼 테마파크 제2구장,원광대,8,동강대,0
41,22309,2020-07-01,11:30,구의 야구공원,동국대,5,한양대,3
41,22312,2020-07-02,11:30,구의 야구공원,연세대,5,동국대,3
41,22317,2020-07-09,09:00,고려대학교 송추야구장,동국대,20,서울대,1
41,22320,2020-07-10,09:00,고려대학교 송추야구장,동국대,10,서울문화예술대,7
41,22392,2020-07-16,14:00,보은스포츠파크 야구장,동국대,5,동아대,4
41,22438,2020-07-30,11:30,구의 야구공원,동국대,1,연세대,3
